name,type,value,date
陕西,,6.447257,1993
甘肃,,5.135205,1993
青海,,4.657139,1993
宁夏,,6.086657,1993
新疆,,6.360823,1993
全国,,6.744497911,1994
北京,,8.532201,1994
天津,,7.687454,1994
河北,,6.753599,1994
山西,,7.171884,1994
内蒙古,,6.830338,1994
辽宁,,7.407189,1994
吉林,,7.423475,1994
黑龙江,,7.273059,1994
上海,,8.104999,1994
江苏,,6.562272,1994
浙江,,6.474747,1994
安徽,,6.037614,1994
福建,,6.259035,1994
江西,,6.528929,1994
山东,,6.35332,1994
河南,,6.672873,1994
湖北,,6.72671,1994
湖南,,6.827236,1994
广东,,6.874021,1994
广西,,6.522992,1994
海南,,6.726626,1994
重庆,,6.291805,1994
四川,,6.291805,1994
贵州,,5.399817,1994
云南,,5.391452,1994
西藏,,2.794373,1994
陕西,,6.651853,1994
甘肃,,5.62593,1994
青海,,4.999593,1994
宁夏,,6.108576,1994
新疆,,6.690503,1994
全国,,6.715420015,1995
北京,,9.236841,1995
天津,,8.204426,1995
河北,,6.76786,1995
山西,,7.533833,1995
内蒙古,,7.001738,1995
辽宁,,7.63876,1995
吉林,,7.773586,1995
黑龙江,,7.529056,1995
上海,,8.791101,1995
江苏,,7.000705,1995
浙江,,6.41722,1995
安徽,,6.149364,1995
福建,,6.107258,1995
江西,,6.284643,1995
山东,,6.662352,1995
河南,,6.717973,1995
湖北,,6.719856,1995
湖南,,6.781402,1995
广东,,7.096226,1995
广西,,6.582956,1995
海南,,7.039581458,1995
重庆,,6.367494,1995
四川,,6.367494,1995
贵州,,5.622783,1995
云南,,5.328881,1995
西藏,,2.599228925,1995
陕西,,6.846363,1995
甘肃,,5.491265,1995
青海,,5.180248,1995
宁夏,,6.214557,1995
新疆,,7.029419,1995
全国,,6.793998204,1996
北京,,9.57526,1996
天津,,8.01632,1996
河北,,6.886068,1996
山西,,7.563684,1996
内蒙古,,7.117157,1996
辽宁,,7.847942,1996
吉林,,7.755182,1996
黑龙江,,7.734042,1996
上海,,9.006757,1996
江苏,,7.015548,1996
浙江,,6.706884,1996
安徽,,6.296073,1996
福建,,6.286047,1996
江西,,6.850537,1996
山东,,6.421453,1996
河南,,6.852873,1996
湖北,,6.942768,1996
湖南,,6.937192,1996
广东,,6.77617,1996
广西,,6.69696,1996
海南,,6.643577774,1996
重庆,,6.42887,1996
四川,,6.42887,1996
贵州,,5.686473,1996
云南,,5.618242,1996
西藏,,2.917418773,1996
陕西,,6.813491,1996
甘肃,,5.729782,1996
青海,,4.898685,1996
宁夏,,6.504766,1996
新疆,,7.21388,1996
全国,,7.00915831,1997
北京,,9.501304631,1997
天津,,8.375605994,1997
河北,,7.17395132,1997
山西,,7.682307585,1997
内蒙古,,7.18158474,1997
辽宁,,8.101662551,1997
吉林,,8.027393969,1997
黑龙江,,7.856217762,1997
上海,,8.885079941,1997
江苏,,6.910436045,1997
浙江,,6.814841242,1997
安徽,,6.557069607,1997
福建,,6.734194137,1997
江西,,7.046688579,1997
山东,,6.503139633,1997
河南,,7.101409229,1997
湖北,,7.221497121,1997
湖南,,7.224278096,1997
广东,,7.504382333,1997
广西,,6.61296651,1997
海南,,7.212121212,1997
重庆,,6.601017106,1997
四川,,6.56953168,1997
贵州,,5.849391668,1997
云南,,5.78887136,1997
西藏,,3.499772002,1997
陕西,,7.06605427,1997
甘肃,,6.127260784,1997
青海,,4.692565305,1997
宁夏,,6.447521866,1997
新疆,,7.512038217,1997
全国,,7.087743943,1998
北京,,9.749380677,1998
天津,,8.123508617,1998
河北,,7.466619261,1998
山西,,7.57117641,1998
内蒙古,,7.433566752,1998
辽宁,,8.032185306,1998
吉林,,8.025248509,1998
黑龙江,,7.849744976,1998
上海,,8.973606419,1998
江苏,,7.038342792,1998
浙江,,7.025751889,1998
安徽,,6.536878998,1998
福建,,6.689438976,1998
江西,,7.011602536,1998
山东,,6.619558089,1998
