name,Type,value,date
"Near Luang Pragang, Laos",Douglas DC-3,28,1954
"Bratislava, Slovakia",Douglas C-47A,4,1954
"Near Bolivar, Venezuela",Douglas C-47A,2,1954
"New York, New York",Douglas DC-6B,26,1954
"Pittsburgh, Pennsylvania",Douglas DC-3,10,1954
"Prestwick, Ayrshire, Scotland",Boeing B377-10-28 Stratocruiser,28,1954
"Near Moscow, Russia",,45,1954
"Irkutsk, Russia",Ilyushin 14,17,1954
"Off Skellings, Ireland",Avro Shackleton M-2 / Avro Shakleton M-2,18,1955
"Greater Cincinnati Airport, Covington, Kentucky",Martin 202A / DC-3,15,1955
"Des Moines, Iowa",Convair CV-340,0,1955
"Lapadrera, Colombia",Consolidated PBY-5 Catalina,5,1955
"Nagpur, India",Douglas DC-3,10,1955
"Near Calabar, Nigeria",Bristol 170 Freighter 21E,13,1955
"Rome, Italy",Douglas DC-6,29,1955
"Albuquerque, New Mexico",Martin 404,16,1955
"Salisbury,  Zimbabwe",Douglas DC-3,1,1955
"Vitoria da Conquista, Brazil",Douglas DC-3,5,1955
"Mascota, Mexico",Douglas DC-3,26,1955
"Trujillo, Colombia",Douglas C-47A,8,1955
"Springfield, Mississippi",Convair CV-240-0,13,1955
"Oahu, Hawaii",Douglas R6D-1 (C-118B),66,1955
Off the Oregon coast,Boeing 377 Stratocruiser 10-26,4,1955
"Off Pensacola, Florida",Curtiss C-46A,2,1955
"Islip, New York",Douglas DC-6,3,1955
"Off Great Natuna Island, Sarawak",Lockheed 749A Constellation,19,1955
"Kupe Mountains, Cameroons",de Havilland DH-114 Heron 1B,12,1955
"Mt. Kilimanjaro, Kenya",Douglas DC-3,20,1955
"Off Barcelona, Venezuela",Douglas C-47-DL,4,1955
"Edmonton, Alberta, Canada",Avro 685 York C-1,2,1955
"Fort Lamy, Cameroon",Douglas C-54A,3,1955
"Near Asuncion, Paraguay",Lockheed 049-46-21 Constellation,16,1955
"Leon, Mexico",Curtiss C-46,18,1955
"Oaxaca, Mexico",Douglas DC-2-243,22,1955
"Chicago, Illinois",Convair CV-340-32,22,1955
"Near Petrich, Bulgaria",Lockheed 049 Constellation,58,1955
"Fort Leonard Wood, Missouri",Convair CV-240-0,30,1955
"Near Voronezh, Russia",,25,1955
"Near Edelweiler, West Germany",Fairchild C119G / Fairchild C119G,66,1955
"Caparao Mountain, Brazil",Douglas DC-3,13,1955
"Simra, Nepal",Douglas C-47A,2,1955
"Meikitila, Myanmar",Douglas DC-3,9,1955
"Burbank, California",Douglas DC-3,3,1955
"Sombolabo, French Equitorial Africa",Latecoere 631,16,1955
"Near Thorhild, Canada",Bristol 170 Freighter 31,2,1955
"Idris, Libya",Canadair C-4,15,1955
PacifiOcean,Douglas C-54A,3,1955
"Pico Oiriruma-Vinac, Peru",Douglas C54A,19,1955
"Near Centennial, Wyoming",Douglas DC-4,66,1955
"Near Wien, Austria",Convair CV-340-58,7,1955
"Longmont, Colorado",Douglas DC-6B,44,1955
"Seattle, Washingon",Douglas C-54,28,1955
"Near Las Vegas, Nevada",Douglas MC-54M,14,1955
"Iwo Jima, Japan",Douglas C124-DL Globemaster II,10,1955
"Near Ballico, California",Boeing RB-52B,10,1955
"Belem, Brazil",Douglas DC-3,6,1955
"Hollywood, South Carolina",Curtiss C-46A,2,1955
"Sao Paulo, Brazil",Douglas DC-3,26,1955
"Jacksonville, Florida",Lockheed 749C-79-12 Constellation,17,1955
"Frederick Henry Bay,  Australia",Douglas C-47,1,1956
"Oreway, Canada",Douglas DC-3,4,1956
"Torysa, Czechoslovakia",Douglas DC-3,22,1956
"Lyon, France",Douglas C-47,3,1956
"Frobisher Bay, Canada",Bristol 170 Freighter 31,2,1956
"Near Fort Chimo, Quebec, Canada",Douglas C-47-DL,2,1956
"Near Niles, California",Douglas R5D2,40,1956
"Near Zurrieg, Malta",Avro 685 York C-1,50,1956
"Near Cairo, Egypt",Douglas DC-6B,52,1956
"Near Aleppo, Syria",Douglas DC-3,19,1956
"Jalkot, Pakistan",Douglas C-47B,3,1956
"Tezpur, India",Douglas DC-3,2,1956
"Largs, England",Douglas C-47B,1,1956
"Indapur, India",Douglas C-47A,3,1956
"Korat ,Thailand",Douglas C-47A,18,1956
"Pittsburgh, Pennsylvania",Martin 404,22,1956
"Seattle, Washington",Boeing 377 Stratocruiser 10-30,5,1956
"Skilak Lake, Alaska",Aero Commander  520,6,1956
"Parintins, Brazil",Consolidated PBY-5A Catalina,3,1956
"London, England",Avro 685 York C-1,2,1956
"Kathmandu, Nepal",Douglas DC-3,14,1956
"Orleans, Ontario, Canada",CF-100 Mark V,2,1956
"Guatemala City, Guatemala",Douglas DC-3,30,1956
"Asbury Park, New Jersey",Lockheed 1049E-55 Super Constellation,74,1956
"Kano, Nigeria",Canadair C-4 Argonaut,32,1956
"Grand Canyon, Arizona",Douglas DC-7 / Lockheed S Constellation,128,1956
"Near Flat Rock, Michigan",Vickers Viscount,1,1956
"Near Brows Mills, New Jersey",Douglas C-118A,46,1956
"Rio Cuarto, Argentina",Douglas DC-3,18,1956
"Thazi, Burma",Douglas DC-3,12,1956
"Cold Bay, Alaska",Douglas DC-6B,15,1956
"Amman, Jordan",Curtiss C-46A-45-CU,1,1956
"Bartlesville, Oklahoma",Douglas DC-3 / Cessna 170B,0,1956
"Near Nome, Alaska",Stinson AT-19,5,1956
"Off Land's End, England",Douglas C188-B,59,1956
Over the PacifiOcean,Boeing  377 Stratocruiser,0,1956
"Agartala, India",Douglas DC-3,3,1956
Over the Mediterranean Sea,Curtiss C-46,23,1956
"Blackbushe, England",Handley Page HP-1 Hermes,5,1956
"Hommelfjell, Norway",de Havilland DH-114 Heron 2B,2,1956
"Puerto Somoza, Nicaragua",Douglas C-54A-10-DC,25,1956
"Porto Alegre, Brazil",Douglas C-47A,2,1957
"El Rucio Mountain, Colombia",Douglas DC-3,36,1956
"Near Eglisau, Switzerland",Ilyushin IL-12B,23,1956
"Paris, France",Douglas DC-6B,34,1956
"Caracas, Venezuela",Lockheed 749-79-34 Constellation,25,1956
"Caqueta, Colombia",Consolidated PBY-5A Catalina,14,1956
"Near Chilliwack, British Columbia, Canada",Canadair DC-4M-2 Northstar,62,1956
"Dannemois, France",Vickers 708 Viscount,5,1956
"Grub, Germany",Convair CV-340-58,3,1956
"Mt. Giner, Italy",Douglas DC-3,21,1956
"Dhahran, Saudi Arabia",Lockheed C-121C Super Constellation,11,1956
"Owasso, Oklahoma",Convair CV-240-0,1,1957
"Near Buenos Aires, Argentina",Vickers 615 Viking 1B,17,1957
"Ometepe Island, Nicaragua",Douglas DC-3,16,1957
"Paris, France",SNCASE SE.2010 Armagnac,2,1957
"Near Sunland, California",Douglas DC-7B / U.S. Air Force F-89J,5,1957
"New York, New York",Douglas DC-6A,21,1957
"Kimpo Air Base, South Korea",Douglas C-124C,22,1957
"Blyn, Washington",Douglas C-54B,5,1957
"Drayton, England",Blackburn Beverley C Mark 1,18,1957
"El Soldado, Colombia",Douglas DC-3,15,1957
"Manchester, England",Vickers Viscount 701,20,1957
"Near Cebu, Philippines",Douglas C-47 Skytrain,24,1957
"Near Sayari, Bolivia",Douglas DC-3,19,1957
Over the North PacifiOcean,Boeing C-97C,67,1957
"Bage, Brazil",Curtiss C-46A-45-CU,40,1957
"Algiers, Algeria",Douglas DC-3,34,1957
"Anchieta Island, Brazil",Douglas DC-3,26,1957
"Merida, Mexico",Consolidated B-24J,3,1957
"Near El Quweira, Jordan",Vickers Valetta C-Mk.1,24,1957
"Jirkouk, Iraq",Lockheed Super Constellation,1,1957
"Blackbushe, Hants, England",Vickers Viking 1B,34,1957
"Santoshpur, India",Douglas C-47A,1,1957
"Barajas, Madrid, Spain",Bristol 170 Freighter,37,1957
"Near San Carlos de Bariloche, Argentina",Vickers 615 Viking 1B,16,1957
"Narsarressuak, Greenland",Douglas DC-4,2,1957
"New Delhi, India",Douglas DC-3,2,1957
"Near Moscow, Russia",Ilyushin P-14,9,1957
"Bodensee, Switzerland",Douglas C-47B,9,1957
"Near Clarksburg, Maryland",Douglas C-47A,3,1957
"Port Hardy, BC, Canada",Douglas DC-3,14,1957
"Bay of Bengal, Pakistan",Douglas DC-3,24,1957
"Near Biak, Indonesia",Lockheed 1049C Super Constellation,58,1957
"Daggett, California",Convair CV-240,1,1957
"Near Issoudun, Quebec, Canada",Douglas DC-4,79,1957
"Copenhagen, Denmark",Ilyushin IL-14P,23,1957
"Assam, India",Douglas DC-3,8,1957
"Near Juticalpa, Honduras",Douglas DC-3,12,1957
"Niquitao, Venezuela",Douglas DC-3,8,1957
"New Bedford, Massachusett",Douglas DC-3,12,1957
"Montevideo,  Uruguay",Convair CV-440-62,1,1957
,de Havilland DH-114 Heron,3,1957
"Beirut, Lebanon",Curtiss C-46A-45-CU,27,1957
"Belfast, Ireland",Vickers 802 Viscount,7,1957
"Madrid, Spain",Douglas DC-3,21,1957
"Near Campeche, Mexico",Fairchild C-82A,3,1957
"Bristol, England",Bristol Britannia 175,15,1957
"900 miles E of Honolulu, Hawaii, PacifiOcean",Boeing - 377-10-29 Stratocruiser,44,1957
"Near Palma de Mallorca, Spain",de Havilland DH-114 Heron 2D,4,1957
"Chessell Down Hants, England",Short Solent 3 (flying boat),43,1957
"Christchurch, New Zealand",Bristol 170 Freighter 31,4,1957
"Bolivar, Argentina",Douglas DC-4,61,1957
"Jeannine Lake, Quebec, Canada",Douglas C-47A,3,1957
"Ozamis City, Philippines",de Havilland Canada DHC-3 Otter,2,1957
"Stansted, England",Avro 685 York C-1,4,1957
"Off Oahu, Hawaii",Lockheed WV-2,19,1957
"Buenos Aires, Argentina",Short Sunderland,9,1957
"Belem, Brazil",Fairchild C-82A,3,1958
"Near La Paz, Bolivia",Douglas DC-3,11,1958
"Rio de Janeiro, Brazil",Douglas DC-4,5,1958
"New Delhi, India",Convair CV-240-7,21,1958
"Norwalk, California",Douglas C-118A / Lockheed P2V-5F,47,1958
"Munich, Germany",Airspeed Ambassador A5-57,23,1958
"Motu Taoru, France",Consolidated PBY-5A  Catalina,15,1958
"Off Corvo Island, Azores",Lockheed WV-2,22,1958
"Horwich, Lancs, England",Bristol 170 Freighter 21,35,1958
"Off Ryukyu Islands, Okinawa",Fairchild R4Q / Dougas AD-6 skyraider,26,1958
"Menzalah Lake, Egypt",Vickers 628 Viking 1B,8,1958
"Grants, New Mexico",Lockheed 18 Lodestar,4,1958
"Near Kathmandu, Nepal",Douglas DC-3,20,1958
"Miami, Florida",Douglas DC-7-C,9,1958
"Bridgeport, Texas",Douglas C-124C / Fairchild C-119C,18,1958
"Quito, Ecuador",Junkers JU-52/3m,3,1958
"Freeland, Michigan",Vickers Viscount 745D,47,1958
"Mt. Illiniza, Ecuador",Douglas DC-3,32,1958
"Off Castell de Fels, Spain",de Havilland DH-114 Heron 2D,16,1958
"Near Sloan, 10 miles SW of Las Vegas, Nevada",Douglas DC-7 / F-100F,49,1958
"Near Casablanca, Morocco",Douglas DC-7C,61,1958
"Brunswick, Maryland",Vickers Viscount 745D / T-33A,11,1958
"Gurgaon, India",Avro 685 York C-1,4,1958
"SW of Algiers, Algeria",Douglas DC-3,15,1958
"Rio de Janeiro, Brazil",Curtiss C-46D,4,1958
"Manila, Philippines",Boeing 377 Stratocruiser 10-26,1,1958
"Near Guadalajara, Mexico",Lockheed 749A Constellation,45,1958
"Martinsburg, West Virginia",Douglas DC-3,1,1958
"Curitiba, Brazil",Convair CV-440-59,19,1958
"Mohanbari, India",Douglas C-47A,7,1958
"Near Chicopee Falls, Massachusetts",Boeing KC-135A,15,1958
"Dhaka, Baangladesh",Douglas C-47A,3,1958
"Benghazi, Libya",Vickers Viscount 748D,36,1958
"Sakiya Saugye, Japan",Douglas DC-3,33,1958
"Maraso Bay, Brazil",Douglas DC-4,10,1958
"North AtlantiOcean, 100 miles W of Galway Bay, Ireland",Lockheed 1049H Super Constellation,99,1958
"Nantucket, Massachusett",Convair CV-240-2,24,1958
"Near Chita, Russia",Tupolev TU-104-A,64,1958
"Sasnashen, Russia",Lockheed C-130A-II Hercules,17,1958
"London, England",Vickers 621 Viking 1,3,1958
Off Guam,Douglas C-124C Globemaster,19,1958
"Campina Grande, Brazil",Curtiss C-46A-CU,13,1958
"Near Fairchild AFB, Washington DC",Boeing B-52 / Boeing B-52,13,1958
"Mount Oyama, Japan",Lockheed L-1049H Super Constellation,8,1958
"Triel, France",Lockheed C-130A Hercules,15,1958
Over the Mediterranean Sea,Avro 685 York I,5,1958
"Payette, Idaho",Fairchild C-123 Provider,19,1958
"Mt. Alto del Cedro, Venezuela",Lockheed 1049E Super Constellation,23,1958
"Villa Montes, Bolivia",Douglas C-47A,20,1958
"Near Kanash, Russia",Tupolev TU-104A,80,1958
"Placentia Bay, Canada",Lockheed WV-2 Super Constellation,11,1958
"Anzio, Italy",Vickers Viscount 701C,31,1958
"Nipe Bay, Cuba",Vickers Viscount 755D,17,1958
"Near Roccatamburo di Poggiodomo, Italy",Douglas C-47-DL,8,1958
"La Paz, Bolivia",Douglas DC-3,3,1958
North AtlantiOcean,Martin Mariner,36,1958
"Fort Collins, Colorado",Curtiss C-46F,2,1958
"Guadarrama Mountains, Spain",SNCASE Languedoc,21,1958
"Winkton, England",Bristol 175 Britannia 312,9,1958
"Salisbury, Zimbabwe",Douglas DC-6B,3,1958
"Rio de Janeiro, Brazil",Saab Scandia,21,1958
"Near Tippi, Ethiopia",Douglas DC-3,5,1962
"Mt. Pena Blanca, Guatemala",Douglas DC-3,5,1959
"Mt. Holston, Tennessee",Douglas DC-3,10,1959
"Rio de Janeiro, Brazil",Lockheed 1049G Super Constellation,36,1959
"Panther Peak, California",Curtiss C-46F,2,1959
"Off Mar del Plata, Argentina",Curtiss C-46A-50-CU,51,1959
"Near Merida, Venezuela",Curtiss C-46D-15-CU,4,1959
"Dabouk, Jordan",Convair CV-240-2,10,1959
"Brindisi, Italy",Avro 688,2,1959
"Kerrville, Texas",Douglas DC-3,3,1959
"Mason City, Iowa",Beechcraft Bonanza 35,4,1959
"La Guardia Airport, New York, NY",Lockheed  188A Electra,65,1959
"Gatwick, Surrey, England",Vickers Viscount 794D,14,1959
"Belen, Chile",Curtiss C-46A,5,1959
"Beirut, Lebanon",Douglas DC-4,24,1959
"Managua, Nicaragua",Vickers Viscount 763,15,1959
"Tobu, India",Douglas C-47A,5,1959
"Mahon, Spain",Bristol 170 Freighter 21E,1,1959
"Near Banga, Central African Republic",Nord 2501 Noratlas,9,1959
"Near Silchar, India",Douglas DC-3,24,1959
"Alma, Georgia",Curtiss C-46A,2,1959
"Puerto Kino, Mexico",Curtiss C-46F-1-CU,26,1959
"Van, Turkey",Avro 688 Super Trader,12,1959
"Valdemeca, Spain",Douglas DC-3,28,1959
"Mallorca, Spain",Douglas DC-3,5,1959
"Charleston, West Virginia",Lockheed C-69 Constellation,2,1959
"Chase, Maryland",Vickers Viscount 745D,31,1959
"Near Toumavista, Peru",Curtiss C-46A,12,1959
"Off Mar del Plata, Aregntina",Douglas DC-3,10,1959
"Moro, Peru",Curtiss C-46A-50-CU,8,1959
Nicaragua,Curtiss C-46,60,1959
"Cerros Baco, Peru",Douglas DC-4,14,1959
"Near Varese, Lombardia, 20 miles NW of Milan, Italy",Lockheed 1649A Starliner,68,1959
"Ishikawa City, Ryukyu Island, Okinawa",North American F-100D-25NA,0,1959
"Sagone, India",Douglas DC-3,6,1959
"Karachi, Pakistan",Vickers 815 Viscount,2,1959
"Calverton, New York",Boeing 707-123,5,1959
"Near Barcelona, Spain",Douglas DC-3,32,1959
"Near Asuncion, Paraguay",de Havilland DH-106 Comet 4,2,1959
"Abilene, Texas",Curtiss C-46A,2,1959
"Poza Rica, Mexico",Douglas DC-3,1,1959
"Near Tegucigalpa, Honduras",Douglas DC-4,3,1959
"Sao Paulo, Brazil",Saab Scandia 90A-1,20,1959
"Bordeaux, France",Douglas DC-7C,53,1959
"Great Sitkin Island, Alaska",Douglas C-54B,16,1959
"Buffalo, Texas",Lockheed 188A Electra,34,1959
"Santa Maria, California",Douglas C-47A-DL,1,1959
"Athens, Greece",Douglas DC-3,18,1959
"Waynesborough, Virginia",Douglas DC-3,26,1959
"St. Cleophas, Quebec, Canada",Douglas C-54A,5,1959
Gulf of Mexico,Douglas DC-7B,42,1959
"Lvov, Ukraine, USSR",Antonov AN-10,40,1959
"Chicago, Illinois",Lockheed L-1049H Super Constellation,3,1959
"Willamsport, Pennsylvania",Martin 202,25,1959
"Off Cartagena, Colombia",Curtiss C-46A,45,1959
"Near Tashkent, Uzbekistan, USSR",Ilyushin IL-18,29,1959
"Ketchikan, Alaska",Consolidated PBY-5A Catalina,3,1959
"Rome, Italy",Vickers 785D Viscount,2,1959
"Rid de Janeiro, Brazil",Vickers Viscount 827 / Fokker AT-6,33,1959
"Palembang, Indonesia",Douglas C-47A,1,1959
"Near San Jose de Chiquitos, Bolivia",Douglas DC-3,11,1959
"Taksing, India",Douglas C-47A,9,1960
"Wilmington/Bolivia, North Carolina",Douglas DC-6B,34,1960
Gulf of Sirte,de Havilland Canada U-1A Otter,10,1960
"Charles City, Virginia",Vickers Viscount 745D,50,1960
"Ankara, Turkey",Sud Aviation Caravelle 1,42,1960
"Near Semipalatinsk, USSR",Ilyushin IL-18B,61,1973
"Montego Bay, Jamacia",Lockheed 1049E Super Constellation,37,1960
"Off Bathurst Island, Australia",de Havilland DH-114 Heron 2D,9,1960
"Laguna de Huana-Costa , Boliva",Douglas DC-4,59,1960
"Rio de Janeiro, Brazil",Douglas DC-3 / USN R-6D-1,61,1960
"Shannon, Ireland",Douglas DC-7C,34,1960
"Lvov, Ukraine, USSR",Antonov AN-10,32,1960
"El Refugio, Colombia",Consolidated PBY-5A Catalina,6,1960
"Near Tokyo, Japan",Douglas DC-3,3,1960
"Near Cannelton, 10 mile SE of Tell City, Indiana",Lockheed 188C Electra,63,1960
"Cordoba, Colombia",Curtiss C-46,25,1960
"Siuna, Nicaragua",Curtiss C-46A-40-CU,2,1960
"Pelotas, Brazil",Douglas DC-3,10,1960
"Taipei ,Taiwan",Douglas DC-4,18,1960
"Stephenville, Newfoundland",Douglas C-124C Globemaster,9,1960
"Bogota, Colombia",Curtiss C-46,37,1960
"Hickory, North Carolina",Fairchild F-27 / Cessna 310,4,1960
"Bunia, Belgian Congo",Douglas C-54B,35,1960
"Near Calabozo, Venezuela",Douglas DC-3,13,1960
"Jebel Marra, Sudan",Douglas DC-4-1009,12,1960
"Near Salto, Uruguay",Douglas DC-6,31,1960
"El Sosneado, Argentina",Curtiss C-46,10,1960
"Atlanta, Georgia",Convair CV-880,4,1960
"Off  Mackay, Qld. Australia",Fokker F-27 Friendship 100,29,1960
"Mt. Gilbert, Alaska",Lockheed 749A-79-32 Constellation,14,1960
"Rio de Janeiro, Brazil",Convair CV-340-62,54,1960
"Off Barnegat City, New Jersey",Goodyear ZPG-3W (airship),18,1960
Persian Gulf,Douglas DC-3,16,1960
"Near Quito, Ecuador",Douglas C-47B-DK,18,1960
"Off Manila, Philippines",Douglas DC-7C,1,1960
"Near Jima, Ethiopia",Douglas DC-3,1,1960
"Near Goma, Zaire",Fairchild C-119G,37,1960
"Forest Park, Illinois",Sikorsky S-58C helicopter,13,1960
"Near Rimini, Italy",Convair CV-240-4,1,1960
"Near Tipuani, Bolivia",Douglas C-47,6,1960
"Kiev, Ukraine, USSR",Ilyushin IL-18,35,1960
"Near El Kelaa, Morocco",Avro Lancaster 1,20,1960
"Off Heraklion, Greece",Vickers 634 Viking 1B,3,1960
"Off Dakar, Senegal",Lockheed 1049G Super Constellation,63,1960
"Agana, Guam, Mariana Islands",Douglas DC-6AB,80,1960
"Off Naha, Okinawa",Douglas R5D-3,29,1960
"Moscow, Russia",Vickers Viscount 837,31,1960
"Near Juchetipec, Mexico",Douglas DC-3 (C-53-DO),8,1960
"Off Elba, Italy",Vickers Viscount 739B,21,1960
"Boston, Massachusett",Lockheed 188A Electra,62,1960
"Elba, Italy",de Havilland DH-114 Heron 2,11,1960
"Plain City, Utah",Curtiss C-46F,2,1960
"Ust-Orda, Russia",Tupolev Tu-104A,3,1960
"Near Missoula, Montana",Douglas C-54A-DC,12,1960
"Toledo, Ohio",Curtiss C-46F-1-CU,22,1960
"Bhairawa, Nepal",Douglas C-47A,4,1960
"Near Quito, Ecuador",Fairchild F-27A,37,1960
"Manila, Philippines",Douglas DC-3,33,1960
"Cachimbo, Brazil",Curtiss C-46A-60-CK,15,1960
"San Andres de Giles, Argentina",Avro 691 Lancastrian IV,31,1960
"Llico, Chile",Douglas DC-3,24,1961
"Stah, Algeria",Lockheed 1649A Starliner,78,1961
"Near Tacoma, Washington",Douglas C-124A-DL,22,1961
"Staten Island / Brooklyn, New York",MD DC-8-11 / Lockheed  1049 S Const,128,1960
"Munich, West Germany",Convair C-131D (CV-340-79),20,1960
"Cebu City, Philippines",Douglas DC-3,28,1960
"Ruzyne, Czechoslovakia",Avia 14,10,1961
"Koivulahti, Finland",Douglas DC-3,25,1961
"New York, New York (Idlewild)",McDonnell Douglas DC-8-21,4,1961
Midway Island Naval Air Station,Lockheed WV-2 Super Constellation,6,1961
"Mt. Burangrang, Indonesia",Douglas DC-3,21,1961
"Off Argentia, Azores",Douglas C-118A,23,1961
"Off Montauk Point, New York",Boeing 707-123,6,1961
"Off Surabaya, Indonesia",Douglas DC-3,26,1961
"Near Brussels, Belgium",Boeing B-707-320,72,1961
"Near Caracas, Venezuela",Douglas DC-3,12,1961
"Near Natal, Brazil",Douglas C-47DL,23,1961
"Russelbach, East Germany",Ilyushin IL-18,52,1961
Singapore,Handley Page Hastings C-2,13,1961
"Near Lisbon, Portugal",McDonnell Douglas DC-8-53,61,1961
"Cairo, Egypt",Lockheed L-188C Electra,20,1961
"Near Kano, Nigeria",Douglas C-54B-1-DC,1,1961
"Buenos Aires, Argentina",Curtiss C-46A,24,1961
"Odessa, Ukraine, USSR",Tupolev TU-104B,1,1961
"Denver, Colorado",McDonnell Douglas DC-8-12,17,1961
"Casablanca, Morocco",Ilyushin IL-18B,72,1961
"Near Azul, Argentina",Douglas DC-6,67,1961
"Shemya, Alaska",Douglas DC-6A,6,1961
"Budapest, Hungary",Douglas DC-3,27,1961
"Sola, Norway",Vickers Viking 3B,39,1961
"Near Pha Khao, Laos",Curtiss C-46F,6,1961
"Sondrestr?mfjord, Greenland",de Havilland Canada DHC-3 Otter,1,1961
"Near Hinsdale, Illinois",Lockheed 049 Constellation,78,1961
"Near Sendafar, Ethiopia",Douglas DC-3,5,1961
"Cerro del Aernal, Costa Rica",Douglas DC-3,2,1961
"Surabaya, Indonesia",Douglas DC-3,14,1961
"Shannon, Ireland",Douglas DC-6B,83,1961
"Near Rabat, Morrocco",Sud-Aviation Caravelle III,77,1961
"Ndola, Zambia",Douglas DC-6B,16,1961
"Chicago, Illinois",Lockheed 188C  Electra,37,1961
"Ankara, Turkey",Fokker F-27 Friendship 100,28,1961
"Mt. Canigou, France",Douglas DC-3,34,1961
"El Adem, Libya",Handley Page Hastings C-2,17,1961
"Les Prevosts, Guernsey",Silver City Airways,2,1961
"Near Recife, Brazil",Douglas DC-7C,45,1961
"Near Richmond, Virginia",Lockheed C-69 Constellation,77,1961
Off Puerto Rico,Lockheed L-749A Constellation,3,1961
"Campinas, Brazil",de Havilland Comet 4,52,1961
Sao Tom¨¦,Douglas C-54 Skymaster,21,1961
"Sydney, NSW, Australia",Vickers Viscount 720,15,1961
"Mainz, Germany",Boeing 720-030B,3,1961
"Chievres, Belgium",Fairchild C-119G / Fairchild C-119,13,1961
"Managua, Nicaragua",Curtiss C-46,2,1961
"Ankara, Turkey",de Havilland Comet 4B,27,1961
"Old Harbor, Kodiak Island, Alaska",Grumman G-21A Goose,1,1961
"Caranavi ,Bolivia",Curtiss C-46D,6,1962
"Batataevka, USSR",Antonov AN-10A,13,1962
"Near Tino Maria, Peru",Douglas DC-3,18,1962
"Portlamar, Margarita Island, Venezuela",Fairchild F-27,23,1962
"Municipio de Marulanda, Colombia",Douglas C-47A,2,1962
"Jamaica Bay, New York, New York",Boeing B-707-123B,95,1962
"Douala, Cameroon",Douglas DC-7C,111,1962
"Near Seymour, South Africa",Douglas DC-3,2,1962
"Mt. Medetsiz, Turkey",Fairchild F-27,11,1962
"Rome, Italy",Douglas DC-6B,5,1962
"Near Alencon, France",Lockheed C-130A Hercules,15,1962
"Adak, Alaska",Lockheed 1049H Super Constellation,1,1962
"Western PacifiOcean, Philippine Sea",Lockheed 1049H Super Constellation,107,1962
Algeria,Nord 2501 Noratlas,11,1962
"Santiago de Cuba, Cuba",Ilyushin IL-14,22,1962
"Near Villavicencio, Colombia",Douglas C-47,31,1962
"Serrania del Baudo, Colombia",Douglas C-47A-1,40,1962
"Near Camona, Spain",Convair CV-440 -62,18,1962
"Near Portsmouth, England",Douglas C-47A,12,1962
"Near Mong Pa Liao, Burma",Douglas C-47,32,1962
"Vitoria, Brazil",Convair CV-240-0,23,1962
"Godthaab, Greenland",Consolidated Catalina,15,1962
"Near Cairo, Egypt",Douglas DC-3,3,1962
"Near Nairobi, Kenya",Lockheed C-130A Hercules,13,1962
"Near Markt Schwaben, West Germany",Lockheed C121J,26,1962
"Near Unionville, Missouri",Boeing B-707-124,45,1962
"Villeneuve-le-Roi, Val-de-Marne, France",Boeing B-707-328,130,1962
"Sofia, Bulgaria",Tupolev Tu-104B,5,1962
"Basse-Terre, Guadaloupe, West Indies",Boeing B-707-328,112,1962
"Near Adler, Russia",Antonov AN-10A,81,1962
"Near Krasnoyarsk, USSR",Tupolev TU-104A,84,1962
"Near Tashkent, Uzbekistan, USSR",Ilyushin IL-14,14,1962
"Near Junnar, Maharashtra, India",McDonnell Douglas DC-8-43,94,1962
"Off Brindisi, Italy",Douglas DC-4,6,1962
"Near Lahore, Pakistan",Douglas C-47A,1,1962
"Loheshyphn, India",Douglas C-47,9,1962
"Near Bangkok, Thailand",de Havilland Comet 4C,26,1962
"Honolulu, Hawaii",Bristol Britannia 314,27,1962
"Sochi, Russia",Antonov An-10A,81,1962
"Coulommiers, France",Douglas DC-3,4,1962
"Near Kathmandu, Nepal",Douglas DC-3,10,1962
"Rio de Janerio, Brazil",McDonnell Douglas DC-8-33,15,1962
"Berranca Bermeja, Colombia",Douglas DC-3,20,1962
"Cerro Puena Paz, Peru",Douglas DC-3,9,1962
"Near Khabarovsk, USSR",Tupolev TU-104A,86,1962
"Yanoyaki, Japan",Lockheed P2V-7,12,1962
"Near Lake Milton, Ohio",Lockheed 18 Lodestar,13,1962
"Brno, Czechoslovakia",Avia 14,11,1962
"Near Milan, Washington",Boeing KC-135A,44,1962
"Near Alcoche, Bolivia",Douglas C-47A,4,1962
"Sela, India",Douglas C-47A,8,1962
North AtlantiOcean,Lockheed 1049H-82 Super Constellation,28,1962
"Spt-?les, Quebec, Canada",Vickers 757 Viscount,2,1962
"Manila, Philippines",Fokker F-27 Friendship 100,3,1962
"Acapulco, Mexico",de Havilland DH-125-1A,8,1973
"Windsor Locks, Connecticut",Convair CV-340/440,1,1962
"Near Moscow, Russia",Tupolev TU-104B,10,1962
"Near Tourane, South Vietnam",Douglas DC-3,27,1962
"Near Nagoya, Japan",Vickers 828 Viscount,4,1962
"Ellicott, Maryland",Vickers Viscount 745D,18,1962
Sao Tom¨¦ & Principe,Douglas C-54D,23,1962
"Le Bourget, France",Ilyushin IL-18D,21,1962
"Paraibuna, Brazil",Saab Scandia / Cessna 310,26,1962
"Lima, Peru",Boeing B-707-441,97,1962
"New York, New York",Douglas DC-7B,25,1962
"Barranca Bermeja, Colombia",Douglas C-47,24,1962
"Near Manaus, Brazil",Lockheed 049-46-21 Constellation,50,1962
"Burbank, California",Lockheed 1049H Super Constellation,5,1962
"Warsaw, Poland",Vickers Viscount 804,33,1962
