name,Type,value,date
"Hadley, New Jersey",Fokker F-VII,7,1927
"Saale, Germany",BFW M-18,2,1927
"Schleiz, Germany",Dornier Merkur,6,1927
"Thies, Mauritania",Breguet 14,2,1927
"New Brunswick, New Jersey",Fairchild FC-2,4,1927
"Strasburg, France",Farman F-121 Jabiru,1,1927
Over the Gulf of Finland,Junkers F-13,6,1927
"Corunna, Indiana",Douglas M-4,1,1927
"Almeria, Spain",Breguet 14,2,1927
"Abuerio, Spain",Breguet 14,1,1927
France,Lat¨¦co¨¨re 23,4,1927
"Near Canajoharie, New York",Fairchild FC-2,3,1928
"Solis, Uruguay",Latecoere 25,2,1928
"Tarragona, Spain",Breguet 14,2,1928
France,Breguet 14,1,1928
"Almeria, Spain",Breguet 14,1,1928
"Marquette, Nebraska",Boeing 40,1,1928
"Rio de Janeiro, Brazil",,10,1928
"Off Cape Griz Nez, France",Farman F-60 Goliath,2,1928
"Federal, Wyoming",Boeing 40,1,1928
"Minuesa, Spain",Rohrbach Roland,9,1928
,Latecoere 26,1,1928
"Dearborn, Minnesota",Ford 4,2,1928
"Radevormwald, Germany",Junkers F-13,3,1928
"Frankfurt, Germany",AEGK,5,1928
"Lebo, Kansas",Douglas M-4,1,1928
Over the Gulf of Finland,Junkers F-13,6,1928
"Purley, England",Vickers 74 Vulcan,4,1928
"Waalhaven harbor, Netherlands",Fokker (KLM) F.III,1,1928
"Near Port Townsend, BC, Canada",Ford 4-AT-B Tri Motor,7,1928
"Toul, France",Bleriot Spad 56,3,1928
"Adelaide Hills, Australia",de Havilland DH.50J,1,1928
"Pocatello, Idaho",Fokker Super Universal,7,1928
"Heroldbach, Germany",Fokker FG III,3,1928
"Gerona, Spain",Breguet 14,3,1928
"Polk, Pennsylvania",Douglas M-4,1,1928
"Valence, France",Bleriot Spad 56,1,1928
Off Gibraltar,Latecoere 32,1,1928
"Edgerton, Ohio",Hamilton H-47,3,1928
"Bristolville, Ohio",Douglas M-4,1,1928
"Edgerton, Ohio",Travel Air 4000,3,1928
"Spur, Texas",Ford 4-AT-B Tri Motor,5,1928
Brazil,Dornier Wal,14,1928
"Rio de Janeiro, Brazil",Junkers G24,6,1928
"Letzlingen, Germany",Junkers G-31,3,1928
"Huron, Ohio",Douglas M-4,1,1928
